Stratum	Pixarea	Map	Reference	RefType	Correct
10	0.000637793	1	1	Type1	1
2	0.000430062	0	0.1	Type1	0.9
1	0.00074926	0	0	Type0	1
3	0.000732794	0	0	Type0	1
8	0.000743643	1	0.9	Type1	0.9
3	0.000766086	0	0	Type0	1
8	0.000762473	1	0	Type0	0
10	0.000626077	1	1	Type1	1
3	0.000759622	0	0	Type0	1
10	0.000769286	1	1	Type1	1
2	0.00060334	0	0	Type0	1
6	0.000703913	0.5	0	Type0	0.5
3	0.000748342	0	0	Type0	1
3	0.00076775	0	0	Type0	1
7	0.00045062	1	1	Type1	1
6	0.000641421	1	1	Type1	1
8	0.000692807	1	0	Type0	0
7	0.00030901	1	1	Type1	1
7	0.000355239	0.7	0.4	Type1	0.7
5	0.000766491	0	0	Type0	1
9	0.000526506	1	1	Type1	1
8	0.000730726	1	1	Type1	1
7	0.000383659	1	1	Type1	1
2	0.000356336	0	0	Type0	1
3	0.000763977	0	0	Type0	1
10	0.000670386	1	1	Type1	1
5	0.000680653	0	0	Type0	1
4	0.000533693	0	0	Type0	1
8	0.000769293	1	1	Type1	1
10	0.000649157	1	1	Type1	1
7	0.000417264	1	1	Type1	1
4	0.000520948	0	0	Type0	1
7	0.000447675	1	1	Type1	1
6	0.000768308	1	0	Type0	0
8	0.000624553	1	1	Type1	1
3	0.000741128	0	0	Type0	1
10	0.000627337	1	1	Type1	1
5	0.000768305	0	0	Type0	1
7	0.000366741	1	1	Type1	1
1	0.000767917	0	0	Type0	1
7	0.000394689	1	1	Type1	1
4	0.000657439	0	0	Type0	1
10	0.000768368	1	1	Type1	1
7	0.00032961	1	1	Type1	1
7	0.000371195	1	1	Type1	1
1	0.000740774	0	0	Type0	1
3	0.00076806	0	0	Type0	1
5	0.000769127	0	0	Type0	1
3	0.000765903	0	0	Type0	1
10	0.000650643	1	1	Type1	1
10	0.000768301	1	1	Type1	1
5	0.000769316	0	0	Type0	1
3	0.000628745	0	0	Type0	1
5	0.000737975	0	0	Type0	1
4	0.000631852	0	0	Type0	1
3	0.00065255	0	0	Type0	1
7	0.000343097	1	1	Type1	1
2	0.000350347	0	0	Type0	1
9	0.000536851	1	1	Type1	1
4	0.000643145	0	0	Type0	1
10	0.000768355	1	0	Type0	0
5	0.000768304	0	0	Type0	1
7	0.0004174	1	1	Type1	1
7	0.000465196	1	0	Type0	0
1	0.000765787	0	0	Type0	1
4	0.000431108	0	0	Type0	1
2	0.00032957	0	0	Type0	1
7	0.00034966	1	1	Type1	1
10	0.000768661	1	1	Type1	1
5	0.000750346	0	0	Type0	1
10	0.00076838	1	0	Type0	0
10	0.000647873	1	1	Type1	1
9	0.000344858	1	1	Type1	1
9	0.00040947	1	1	Type1	1
9	0.000479636	1	1	Type1	1
2	0.000340814	0	0	Type0	1
3	0.000751658	0	1	Type1	0
9	0.000343327	1	1	Type1	1
7	0.000415501	1	1	Type1	1
3	0.000731065	0	0	Type0	1
1	0.000768997	0	0	Type0	1
9	0.000390752	1	1	Type1	1
5	0.000768768	0	0	Type0	1
1	0.000761883	0	0	Type0	1
5	0.000733703	0	0	Type0	1
10	0.000697303	1	0	Type0	0
10	0.000639849	1	0	Type0	0
5	0.000767672	0.2	0	Type0	0.8
3	0.000706829	0	0	Type0	1
1	0.000764844	0	0	Type0	1
7	0.000353908	1	1	Type1	1
7	0.00034782	1	0	Type0	0
4	0.000641793	0	0	Type0	1
4	0.000557616	0	0	Type0	1
2	0.000386217	0	0	Type0	1
5	0.000769036	0.2	0.3	Type1	0.9
2	0.000420427	0	0	Type0	1
4	0.000655106	0	0	Type0	1
3	0.000759478	0	0	Type0	1
3	0.000731302	0	0	Type0	1
3	0.000713081	0	0	Type0	1
10	0.000665985	1	1	Type1	1
7	0.000385351	1	1	Type1	1
7	0.000352066	1	1	Type1	1
4	0.000589886	0	0	Type0	1
3	0.000726744	0	0	Type0	1
1	0.000727042	0	0	Type0	1
7	0.000354209	1	1	Type1	1
3	0.000579807	0	0	Type0	1
2	0.000515744	0	0	Type0	1
4	0.000619784	0	0	Type0	1
9	0.000487778	1	0	Type0	0
5	0.000760373	0	1	Type1	0
9	0.000566338	1	1	Type1	1
2	0.000516527	0	0	Type0	1
3	0.000736298	0	0	Type0	1
8	0.000749385	1	1	Type1	1
6	0.000719613	1	1	Type1	1
10	0.000766909	1	0	Type0	0
