yi	xi
83.22147943	5.976763001
135.1214203	24.89110298
4.841977255	2.647888969
49.93288741	15.13138582
0.98352641	0.151313877
0.226967444	3.10181773
11.72666335	8.700307989
0	0.756562029
81.25442661	48.64682456
0.302623464	1.286170096
27.38743295	17.17384218
60.82733639	22.9993869
295.9658435	199.2783679
137.7693767	75.95738873
228.859068	63.02160668
108.1879234	68.2408437
204.5735281	89.50073966
0	3.101941518
0	0.378271516
5.976816315	0.529592134
67.48505381	33.13790076
38.50884876	20.65427767
204.6491829	44.48613449
15.35814552	12.18035556
0	0.378277031
12.40756629	2.572278298
38.73581559	30.33826159
8.322148004	1.286166419
7.565589039	0.226971121
204.0439366	101.153056
9.154362989	4.61497059
19.36790779	4.615055771
0	0.302614884
2.420988321	1.134834771
0	0.075659083
4.085417064	6.354980589
16.19036051	2.87492321
42.97254591	41.30820358
64.23185051	52.42925905
8.700426874	3.555905209
109.8523528	7.641164167
60.14643222	5.825569848
2.269676896	4.690746721
7.943867909	3.404430775
0.453934889	14.75271046
36.46613869	15.73639804
26.25259327	11.72683065
12.40756629	20.50226089
0.453934889	0.151316941
106.22087	18.53603415
41.53508278	11.4242366
8.700426874	0.832210695
3.48017075	3.404517795
5.295912144	2.572309551
60.97864782	29.95952679
26.63087276	13.5422019
3.253203305	1.740097631
1.8913968	3.631519557
33.51555946	4.31240228
0.907870391	1.134845802
0.756558965	4.08550776
0.756558965	0
0.151311425	6.203708997
0.529591521	5.220245707
0	0.453947758
2.723611784	0.60525857
11.87797477	0.83221192
42.14033216	3.631512816
18.61134883	4.91768046
27.38743295	47.28489059
